refseq_chromosomes	status	group	modify_date	refseq_plasmids	release_date	genes	proteins	gc_percent	center	taxon_id	insdc_chromosomes	wgs	bioproject_accession	bioproject_id	subgroup	organism	insdc_plasmids	scaffolds	size
[]	COMPLETE		2011-06-23 00:00:00	[]	2009-10-15 00:00:00					579137	[]		PRJNA41131	41131		Methanocaldococcus vulcanius M7	[]		
[]	COMPLETE		2012-01-19 00:00:00	[]	2009-10-15 00:00:00					59374	[]		PRJNA41169	41169		Fibrobacter succinogenes subsp. succinogenes S85	[]		
[]	COMPLETE		2011-04-06 00:00:00	[]	2009-10-15 00:00:00					544556	[]		PRJNA41171	41171		Geobacillus sp. Y412MC61	[]		
[]	COMPLETE		2009-12-03 00:00:00	[]	2009-10-19 00:00:00					600809	[]		PRJNA41287	41287		Blattabacterium sp. (Periplaneta americana) str. BPLAN	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2009-10-20 00:00:00					561231	[]		PRJNA41297	41297		Pectobacterium wasabiae WPP163	[]		
[]	COMPLETE		2011-08-26 00:00:00	[]	2009-10-21 00:00:00					555778	[]		PRJNA41317	41317		Halothiobacillus neapolitanus c2	[]		
[]	COMPLETE		2010-04-13 00:00:00	[]	2009-10-16 00:00:00					668336	[]		PRJNA41333	41333		Aggregatibacter actinomycetemcomitans D11S-1	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-10-27 00:00:00					526226	[]		PRJNA41403	41403		Gordonia bronchialis DSM 43247	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2009-10-27 00:00:00					502025	[]		PRJNA41425	41425		Haliangium ochraceum DSM 14365	[]		
[]	COMPLETE		2009-11-22 00:00:00	[]	2009-10-27 00:00:00					681288	[]		PRJNA41455	41455		Staphylococcus aureus subsp. aureus ED98	[]		
[]	COMPLETE		2011-06-21 00:00:00	[]	2009-11-02 00:00:00					331104	[]		PRJNA41533	41533		Blattabacterium sp. (Blattella germanica) str. Bge	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-11-03 00:00:00					150340	[]		PRJNA41601	41601		Vibrio sp. Ex25	[]		
[]	COMPLETE		2012-01-27 00:00:00	[]	2010-04-30 00:00:00					509190	[]		PRJNA41709	41709		Caulobacter segnis ATCC 21756	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-11-03 00:00:00					518766	[]		PRJNA41729	41729		Rhodothermus marinus DSM 4252	[]		
[]	COMPLETE		2010-04-15 00:00:00	[]	2005-08-29 00:00:00					633699	[]		PRJNA41735	41735		Lactobacillus johnsonii FI9785	[]		
[]	COMPLETE		2009-11-22 00:00:00	[]	2009-11-13 00:00:00					498217	[]		PRJNA41819	41819		Edwardsiella tarda EIB202	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2009-11-18 00:00:00					525898	[]		PRJNA41861	41861		Sulfurospirillum deleyianum DSM 6946	[]		
[]	COMPLETE		2011-04-07 00:00:00	[]	2009-11-16 00:00:00					519441	[]		PRJNA41863	41863		Streptobacillus moniliformis DSM 12112	[]		
[]	COMPLETE		2011-03-15 00:00:00	[]	2009-11-18 00:00:00					526218	[]		PRJNA41865	41865		Sebaldella termitidis ATCC 33386	[]		
[]	COMPLETE		2012-02-07 00:00:00	[]	2009-11-14 00:00:00					2098	[]		PRJNA41875	41875		Mycoplasma hominis ATCC 23114	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2009-11-16 00:00:00					471852	[]		PRJNA41885	41885		Thermomonospora curvata DSM 43183	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2009-11-19 00:00:00					525903	[]		PRJNA41925	41925		Thermanaerovibrio acidaminovorans DSM 6589	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2009-11-19 00:00:00					479436	[]		PRJNA41927	41927		Veillonella parvula DSM 2008	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2009-11-20 00:00:00					446471	[]		PRJNA41935	41935		Xylanimonas cellulosilytica DSM 15894	[]		
[]	COMPLETE		2012-04-12 00:00:00	[]	2009-11-23 00:00:00					479434	[]		PRJNA41997	41997		Sphaerobacter thermophilus DSM 20745	[]		
[]	COMPLETE		2012-04-12 00:00:00	[]	2009-11-23 00:00:00					525904	[]		PRJNA42011	42011		Thermobaculum terrenum ATCC BAA-798	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-02-16 00:00:00					640131	[]		PRJNA42113	42113		Klebsiella variicola At-22	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2010-02-17 00:00:00					633145	[]		PRJNA42115	42115		Dehalococcoides sp. GT	[]		
[]	COMPLETE		2011-10-07 00:00:00	[]	2010-08-05 00:00:00					633149	[]		PRJNA42117	42117		Brevundimonas subvibrioides ATCC 15264	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2009-11-24 00:00:00					574556	[]		PRJNA42155	42155		Anaplasma centrale str. Israel	[]		
[]	COMPLETE		2010-04-16 00:00:00	[]	2010-03-26 00:00:00					696747	[]		PRJDA42161	42161		Arthrospira platensis NIES-39	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2009-12-03 00:00:00					311424	[]		PRJNA42393	42393		Dehalococcoides sp. VS	[]		
[]	COMPLETE		2010-04-21 00:00:00	[]	2010-03-24 00:00:00					699037	[]		PRJNA42463	42463		Clostridium difficile M68	[]		
[]	COMPLETE		2010-04-21 00:00:00	[]	2010-03-24 00:00:00					499175	[]		PRJNA42473	42473		Clostridium difficile ATCC 43255	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2011-02-14 00:00:00					643561	[]		PRJNA42497	42497		Acidovorax avenae subsp. avenae ATCC 19860	[]		
[]	COMPLETE		2010-02-21 00:00:00	[]	2010-02-17 00:00:00					644281	[]		PRJNA42499	42499		Methanocaldococcus sp. FS406-22	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-08-11 00:00:00					644283	[]		PRJNA42501	42501		Micromonospora aurantiaca ATCC 27029	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2009-12-09 00:00:00					590409	[]		PRJNA42519	42519		Dickeya dadantii Ech586	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2009-12-10 00:00:00					479432	[]		PRJNA42521	42521		Streptosporangium roseum DSM 43021	[]		
[]	COMPLETE		2011-03-31 00:00:00	[]	2010-04-30 00:00:00					640511	[]		PRJNA42523	42523		Burkholderia sp. CCGE1002	[]		
[]	COMPLETE		2012-01-26 00:00:00	[]	2011-01-04 00:00:00					643562	[]		PRJNA42613	42613		Desulfovibrio aespoeensis Aspo-2	[]		
[]	COMPLETE		2012-01-23 00:00:00	[]	2010-11-05 00:00:00					298654	[]		PRJNA42615	42615		Frankia sp. EuI1c	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2009-12-18 00:00:00					590168	[]		PRJNA42777	42777		Thermotoga naphthophila RKU-10	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2009-12-18 00:00:00					684738	[]		PRJNA42831	42831		Lactococcus lactis subsp. lactis KF147	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2009-12-26 00:00:00					304371	[]		PRJNA42887	42887		Methanocella paludicola SANAE	[]		
[]	COMPLETE		2011-10-11 00:00:00	[]	2011-02-14 00:00:00					640510	[]		PRJNA42975	42975		Burkholderia sp. CCGE1001	[]		
[]	COMPLETE		2010-07-08 00:00:00	[]	2010-01-05 00:00:00					637910	[]		PRJNA43089	43089		Citrobacter rodentium ICC168	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-01-05 00:00:00					401473	[]		PRJNA43091	43091		Bifidobacterium dentium Bd1	[]		
[]	COMPLETE		2011-04-12 00:00:00	[]	2010-01-06 00:00:00					680646	[]		PRJNA43093	43093		Rothia mucilaginosa DY-18	[]		
[]	COMPLETE		2012-03-16 00:00:00	[]	2010-01-07 00:00:00					380358	[]		PRJNA43163	43163		Xanthomonas albilineans GPE PC73	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2010-01-07 00:00:00					530564	[]		PRJNA43209	43209		Pirellula staleyi DSM 6068	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-01-07 00:00:00					553190	[]		PRJNA43211	43211		Gardnerella vaginalis 409-05	[]		
[]	COMPLETE		2012-01-26 00:00:00	[]	2010-11-05 00:00:00					648757	[]		PRJNA43247	43247		Rhodomicrobium vannielii ATCC 17100	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2010-12-29 00:00:00					652103	[]		PRJNA43327	43327		Rhodopseudomonas palustris DX-1	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-12-27 00:00:00					649639	[]		PRJNA43329	43329		Bacillus cellulosilyticus DSM 2522	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-02-24 00:00:00					439481	[]		PRJNA43333	43333		Aciduliprofundum boonei T469	[]		
[]	COMPLETE		2011-05-24 00:00:00	[]	2010-01-13 00:00:00					504472	[]		PRJNA43413	43413		Spirosoma linguale DSM 74	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-01-13 00:00:00					479435	[]		PRJNA43465	43465		Kribbella flavida DSM 17836	[]		
[]	COMPLETE		2012-01-27 00:00:00	[]	2010-01-15 00:00:00					469383	[]		PRJNA43467	43467		Conexibacter woesei DSM 14684	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2010-01-15 00:00:00					591001	[]		PRJNA43471	43471		Acidaminococcus fermentans DSM 20731	[]		
[]	COMPLETE		2011-07-05 00:00:00	[]	2010-01-19 00:00:00					572546	[]		PRJNA43493	43493		Archaeoglobus profundus DSM 5631	[]		
[]	COMPLETE		2010-01-21 00:00:00	[]	2010-01-19 00:00:00					543526	[]		PRJNA43501	43501		Haloterrigena turkmenica DSM 5511	[]		
[]	COMPLETE		2012-02-07 00:00:00	[]	2010-01-20 00:00:00					653938	[]		PRJNA43671	43671		Listeria monocytogenes 08-5578	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-01-22 00:00:00					425944	[]		PRJNA43679	43679		Sulfolobus islandicus L.D.8.5	[]		
[]	COMPLETE		2011-12-30 00:00:00	[]	2010-01-28 00:00:00					713887	[]		PRJNA43697	43697		cyanobacterium UCYN-A	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-01-20 00:00:00					526225	[]		PRJNA43725	43725		Geodermatophilus obscurus DSM 43160	[]		
[]	COMPLETE		2012-02-07 00:00:00	[]	2010-01-20 00:00:00					637381	[]		PRJNA43727	43727		Listeria monocytogenes 08-5923	[]		
[]	COMPLETE		2011-12-29 00:00:00	[]	2010-02-05 00:00:00					398511	[]		PRJNA45847	45847		Bacillus pseudofirmus OF4	[]		
[]	COMPLETE		2010-05-30 00:00:00	[]	2010-03-25 00:00:00					717608	[]		PRJEA45855	45855		Clostridium cf. saccharolyticum K10	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-02-05 00:00:00					634498	[]		PRJNA45857	45857		Methanobrevibacter ruminantium M1	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					717962	[]		PRJEA45861	45861		Coprococcus catus GD/7	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-06-01 00:00:00					591019	[]		PRJNA45893	45893		Staphylothermus hellenicus DSM 12710	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-12-22 00:00:00					648999	[]		PRJNA45895	45895		Micromonospora sp. L5	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2011-01-04 00:00:00					653733	[]		PRJNA45897	45897		Desulfurispirillum indicum S5	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					717959	[]		PRJNA45913	45913		Alistipes shahii WAL 8301	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					751585	[]		PRJNA45915	45915		Coprococcus sp. ART55/1	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					717960	[]		PRJNA45917	45917		Eubacterium cylindroides T2-87	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					717961	[]		PRJNA45919	45919		Eubacterium siraeum V10Sc8a	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-02-11 00:00:00					608538	[]		PRJNA45927	45927		Hydrogenobacter thermophilus TK-6	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					718255	[]		PRJNA45953	45953		Roseburia intestinalis XB6B4	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					245012	[]		PRJNA45955	45955		butyrate-producing bacterium SM4/1	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					245018	[]		PRJNA45957	45957		butyrate-producing bacterium SSC/2	[]		
[]	COMPLETE		2010-03-25 00:00:00	[]	2010-03-25 00:00:00					651822	[]		PRJNA45959	45959		Synergistetes bacterium SGP1	[]		
[]	COMPLETE		2010-09-17 00:00:00	[]	2010-03-25 00:00:00					718252	[]		PRJNA45961	45961		Faecalibacterium prausnitzii L2-6	[]		
[]	COMPLETE		2011-01-10 00:00:00	[]	2010-03-25 00:00:00					722911	[]		PRJNA45963	45963		Bifidobacterium longum subsp. longum F8	[]		
[]	COMPLETE		2011-02-08 00:00:00	[]	2010-03-25 00:00:00					718254	[]		PRJNA45967	45967		Enterobacter cloacae subsp. cloacae NCTC 9394	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-02-10 00:00:00					637909	[]		PRJNA46061	46061		Streptococcus gallolyticus UCN34	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-02-16 00:00:00					572477	[]		PRJNA46083	46083		Allochromatium vinosum DSM 180	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-02-17 00:00:00					137722	[]		PRJNA46085	46085		Azospirillum sp. B510	[]		
[]	COMPLETE		2012-01-25 00:00:00	[]	2010-02-16 00:00:00					365659	[]		PRJNA46097	46097		Streptococcus mitis B6	[]		
[]	COMPLETE		2010-10-01 00:00:00	[]	2010-02-13 00:00:00					661367	[]		PRJNA46099	46099		Legionella longbeachae NSW150	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-02-17 00:00:00					396595	[]		PRJNA46181	46181		Thioalkalivibrio sp. K90mix	[]		
[]	COMPLETE		2012-06-13 00:00:00	[]	2010-02-18 00:00:00					683837	[]		PRJNA46215	46215		Listeria seeligeri serovar 1/2b str. SLCC3954	[]		
[]	COMPLETE		2010-10-14 00:00:00	[]	2010-02-19 00:00:00					699246	[]		PRJNA46219	46219		Clostridiales genomosp. BVAB3 str. UPII9-5	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-02-19 00:00:00					638303	[]		PRJNA46231	46231		Thermocrinis albus DSM 14484	[]		
[]	COMPLETE		2012-01-26 00:00:00	[]	2010-02-19 00:00:00					698737	[]		PRJNA46233	46233		Staphylococcus lugdunensis HKU09-01	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-02-24 00:00:00					580331	[]		PRJNA46241	46241		Thermoanaerobacter italicus Ab9	[]		
[]	COMPLETE		2010-02-25 00:00:00	[]	2010-02-24 00:00:00					547559	[]		PRJNA46245	46245		Natrialba magadii ATCC 43099	[]		
[]	COMPLETE		2012-04-12 00:00:00	[]	2010-09-23 00:00:00					640512	[]		PRJNA46253	46253		Burkholderia sp. CCGE1003	[]		
[]	COMPLETE		2012-01-26 00:00:00	[]	2010-12-27 00:00:00					663278	[]		PRJNA46255	46255		Ethanoligenens harbinense YUAN-3	[]		
[]	COMPLETE		2011-10-12 00:00:00	[]	2011-06-06 00:00:00					656024	[]		PRJNA46257	46257		Frankia symbiont of Datisca glomerata	[]		
[]	COMPLETE		2012-06-17 00:00:00	[]	2010-02-19 00:00:00					406818	[]		PRJNA46345	46345		Xenorhabdus bovienii SS-2004	[]		
[]	COMPLETE		2011-10-28 00:00:00	[]	2009-08-01 00:00:00					511691	[]		PRJNA46353	46353		Streptococcus mutans NN2025	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2011-09-23 00:00:00					634177	[]		PRJNA46523	46523		Gluconacetobacter xylinus NBRC 3288	[]		
[]	COMPLETE		2012-06-13 00:00:00	[]	2009-10-02 00:00:00					680198	[]		PRJNA46531	46531		Streptomyces scabiei 87.22	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2011-01-27 00:00:00					546269	[]		PRJNA46625	46625		Filifactor alocis ATCC 35896	[]		
[]	COMPLETE		2012-01-26 00:00:00	[]	2010-03-11 00:00:00					679897	[]		PRJNA46647	46647		Helicobacter mustelae 12198	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-03-06 00:00:00					639282	[]		PRJNA46653	46653		Deferribacter desulfuricans SSM1	[]		
[]	COMPLETE		2010-03-19 00:00:00	[]	2010-03-08 00:00:00					701177	[]		PRJNA46655	46655		Escherichia coli O55:H7 str. CB9615	[]		
[]	COMPLETE		2012-01-30 00:00:00	[]	2010-03-11 00:00:00					522772	[]		PRJNA46657	46657		Denitrovibrio acetiphilus DSM 12809	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2010-03-03 00:00:00					504728	[]		PRJNA46661	46661		Meiothermus ruber DSM 1279	[]		
[]	COMPLETE		2012-01-26 00:00:00	[]	2010-03-05 00:00:00					446470	[]		PRJNA46663	46663		Stackebrandtia nassauensis DSM 44728	[]		
[]	COMPLETE		2012-02-07 00:00:00	[]	2010-03-05 00:00:00					2110	[]		PRJNA46679	46679		Mycoplasma agalactiae	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-03-26 00:00:00					580332	[]		PRJNA46801	46801		Sideroxydans lithotrophicus ES-1	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-03-26 00:00:00					472759	[]		PRJNA46803	46803		Nitrosococcus halophilus Nc4	[]		
[]	COMPLETE		2011-03-24 00:00:00	[]	2010-03-16 00:00:00					706191	[]		PRJNA46807	46807		Pantoea ananatis LMG 20103	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-03-25 00:00:00					665029	[]		PRJNA46839	46839		Erwinia amylovora CFBP1430	[]		
[]	COMPLETE		2010-03-29 00:00:00	[]	2010-03-16 00:00:00					515618	[]		PRJNA46841	46841		Candidatus Riesia pediculicola USDA	[]		
[]	COMPLETE		2010-03-29 00:00:00	[]	2010-03-23 00:00:00					309800	[]		PRJNA46845	46845		Haloferax volcanii DS2	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-03-19 00:00:00					716540	[]		PRJNA46943	46943		Erwinia amylovora ATCC 49946	[]		
[]	COMPLETE		2012-05-10 00:00:00	[]	2012-05-02 00:00:00					694569	[]		PRJNA46989	46989		Aggregatibacter actinomycetemcomitans D7S-1	[]		
[]	COMPLETE		2011-10-13 00:00:00	[]	2010-03-31 00:00:00					641892	[]		PRJNA47075	47075		Candidatus Sulcia muelleri DMIN	[]		
[]	COMPLETE		2010-11-03 00:00:00	[]	2010-04-01 00:00:00					452662	[]		PRJNA47077	47077		Sphingobium japonicum UT26S	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2010-04-05 00:00:00					583355	[]		PRJNA47079	47079		Coraliomargarita akajimensis DSM 45221	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2010-03-31 00:00:00					488538	[]		PRJNA47081	47081		Candidatus Puniceispirillum marinum IMCC1322	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2010-04-05 00:00:00					572547	[]		PRJNA47083	47083		Aminobacterium colombiense DSM 12261	[]		
[]	COMPLETE		2012-06-18 00:00:00	[]	2010-04-02 00:00:00					637905	[]		PRJNA47085	47085		Shewanella violacea DSS12	[]		
[]	COMPLETE		2011-07-05 00:00:00	[]	2010-03-26 00:00:00					512564	[]		PRJNA47087	47087		Mycoplasma crocodyli MP145	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-03-31 00:00:00					547558	[]		PRJNA47313	47313		Methanohalophilus mahii DSM 5219	[]		
[]	COMPLETE		2010-07-02 00:00:00	[]	2010-04-08 00:00:00					637386	[]		PRJNA47317	47317		Yersinia pestis Z176003	[]		
[]	COMPLETE		2012-02-07 00:00:00	[]	2010-04-07 00:00:00					761659	[]		PRJNA47323	47323		Salinibacter ruber M8	[]		
[]	COMPLETE		2011-05-12 00:00:00	[]	2010-04-09 00:00:00					264731	[]		PRJNA47507	47507		Prevotella ruminicola 23	[]		
[]	COMPLETE		2010-07-07 00:00:00	[]	2010-04-09 00:00:00					272942	[]		PRJNA47509	47509		Rhodobacter capsulatus SB 1003	[]		
[]	COMPLETE		2012-06-12 00:00:00	[]	2011-02-02 00:00:00					1198114	[]		PRJNA47621	47621		Granulicella tundricola MP5ACTX9	[]		
[]	COMPLETE		2012-02-14 00:00:00	[]	2010-03-23 00:00:00					553199	[]		PRJNA48071	48071		Propionibacterium acnes SK137	[]		
[]	COMPLETE		2011-11-21 00:00:00	[]	2010-04-21 00:00:00					655815	[]		PRJNA48073	48073		Zunongwangia profunda SM-A87	[]		
